,university,universityLabel,lat,lon,PLZ
0,http://www.wikidata.org/entity/Q1453964,Freie Hochschule Stuttgart,48.7822,9.19228,70188
1,http://www.wikidata.org/entity/Q1453965,Freie Hochschule für Grafik-Design & Bildende Kunst Freiburg,47.992119,7.835028,79115
2,http://www.wikidata.org/entity/Q1667283,Internationale Hochschule Liebenzell,48.7729,8.72773,75378
3,http://www.wikidata.org/entity/Q1667803,Internationales Priesterseminar Herz Jesu,48.83726,12.21109,84069
4,http://www.wikidata.org/entity/Q1736343,Katholische Hochschule für Kirchenmusik Rottenburg,48.4867,8.94167,72108
5,http://www.wikidata.org/entity/Q21040685,Media Akademie – Hochschule Stuttgart,48.772652,9.174292,70178
6,http://www.wikidata.org/entity/Q2109612,Priesterseminar München,48.1549,11.5807,80802
7,http://www.wikidata.org/entity/Q2109618,Priesterseminar Rottenburg,48.4757,8.93394,72108
8,http://www.wikidata.org/entity/Q2418952,Theologische Hochschule Beuron,48.0514,8.96974,88631
9,http://www.wikidata.org/entity/Q30263681,AKAD University,48.7926,9.18182,70191
10,http://www.wikidata.org/entity/Q1622071,Aalen University of Applied Sciences,48.8381,10.0736,73430
11,http://www.wikidata.org/entity/Q322938,"Academy of Fine Arts, Karlsruhe",49.0144,8.38726,76133
12,http://www.wikidata.org/entity/Q414258,Academy of Performing Arts Baden-Wuerttemberg,48.894,9.19111,71638
13,http://www.wikidata.org/entity/Q896468,Augsburg Technical University of Applied Sciences,48.355277777,10.905,86159
14,http://www.wikidata.org/entity/Q1001338,Baden-Wuerttemberg Cooperative State University Loerrach,47.61733,7.67724,79539
15,http://www.wikidata.org/entity/Q1262605,Baden-Württemberg Cooperative State University,48.7823,9.17622,70174
16,http://www.wikidata.org/entity/Q283099,Bundeswehr University Munich,48.08032,11.63813,85579
17,http://www.wikidata.org/entity/Q1736342,Catholic University of Applied Sciences Freiburg,48.0039,7.8575,79104
18,http://www.wikidata.org/entity/Q315161,Catholic University of Eichstätt-Ingolstadt,48.88944444,11.18972222,85072
19,http://www.wikidata.org/entity/Q1109185,Collegium Borromaeum,47.995091,7.854624,79098
20,http://www.wikidata.org/entity/Q1109299,Collegium Willibaldicum,48.890657973,11.185965664,85072
21,http://www.wikidata.org/entity/Q1622118,Constance University of Applied Sciences,47.667088,9.171757,78462
22,http://www.wikidata.org/entity/Q1262599,DHBW Karlsruhe,49.0261,8.38552,76133
23,http://www.wikidata.org/entity/Q1262612,DHBW Stuttgart,48.7736,9.17083,70178
24,http://www.wikidata.org/entity/Q468553,Deggendorf Institute of Technology,48.829722,12.954722,94469
25,http://www.wikidata.org/entity/Q1262615,Duale Hochschule Baden-Württemberg Villingen-Schwenningen,48.0609542,8.5337783,78056
